39,"FIRSTUPPER ALLLOWER PUNCTUATION FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER FIRSTUPPER ALLLOWER ALLLOWER PUNCTUATION ALLUPPER PUNCTUATION FIRSTUPPER MIXED COMMA FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER ALLLOWER ALLLOWER ALLLOWER PUNCTUATION ALLUPPER PUNCTUATION PUNCTUATION FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER ALLLOWER ALLLOWER ALLLOWER PUNCTUATION ALLUPPER PUNCTUATION PUNCTUATION MIXED FIRSTUPPER ALLLOWER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER MIXED FIRSTUPPER ALLLOWER ALLLOWER ALLLOWER ALLLOWER ALLLOWER PUNCTUATION FIRSTUPPER ALLLOWER MIXED AND ALLLOWER ALLLOWER MIXED PUNCTUATION MIXED ALLLOWER ALLLOWER ALLLOWER ALLLOWER ALLLOWER PUNCTUATION ALLUPPER PUNCTUATION","Coordination générale : [[René Dinkel]], Élisabeth Decugnière, Hortensia Gauthier, Marie-Christine Oculi. Rédaction des notices : CRMH : Martine Audibert-Bringer, Odile de Pierrefeu, Sylvie Réol. Direction régionale des antiquités préhistoriques (DRAP) : Gérard Sauzade. Direction régionale des antiquités historiques (DRAH) : Jean-Paul Jacob directeur, Armelle Guilcher, Mireille Pagni, Anne Roth-Congés Institut de recherche sur l'architecture antique ([[Maison de l'Orient et de la Méditerranée]]-IRAA)-[[Centre national de la recherche scientifique]] (CNRS)"
6,"FIRSTUPPER ALLLOWER PUNCTUATION FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER FIRSTUPPER ALLLOWER ALLLOWER PUNCTUATION ALLUPPER PUNCTUATION FIRSTUPPER MIXED COMMA FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER ALLLOWER ALLLOWER ALLLOWER PUNCTUATION ALLUPPER PUNCTUATION PUNCTUATION FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER ALLLOWER ALLLOWER ALLLOWER PUNCTUATION ALLUPPER PUNCTUATION PUNCTUATION MIXED FIRSTUPPER ALLLOWER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER MIXED FIRSTUPPER ALLLOWER ALLLOWER ALLLOWER ALLLOWER ALLLOWER PUNCTUATION FIRSTUPPER ALLLOWER MIXED AND ALLLOWER ALLLOWER FIRSTUPPER DASHNUMBER ALLUPPER PUNCTUATION MIXED ALLLOWER ALLLOWER ALLLOWER ALLLOWER ALLLOWER PUNCTUATION ALLUPPER PUNCTUATION","Coordination générale : [[René Dinkel]], Élisabeth Decugnière, Hortensia Gauthier, Marie-Christine Oculi. Rédaction des notices : CRMH : Martine Audibert-Bringer, Odile de Pierrefeu, Sylvie Réol. Direction régionale des antiquités préhistoriques (DRAP) : Gérard Sauzade. Direction régionale des antiquités historiques (DRAH) : Jean-Paul Jacob directeur, Armelle Guilcher, Mireille Pagni, Anne Roth-Congés Institut de recherche sur l'architecture antique ([[Maison de l'Orient et de la Méditerranée]] - IRAA)-[[Centre national de la recherche scientifique]] (CNRS)"
24,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER AND FIRSTUPPER FIRSTUPPER","[[Arnaud Bédat]], Gilles Bouleau et Bernard Nicolas"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER AND FIRSTUPPER MIXED","[[Philippe Pinchemel]], Jacques Godard, René Normand et Colette Lamy-Lassalle"
8,"INITIAL INITIAL FIRSTUPPER AND INITIAL INITIAL FIRSTUPPER","J. G. Mead et C. W. Potter"
25,"FIRSTUPPER FIRSTUPPER AND MIXED FIRSTUPPER","Francine Musquère et Jean-Michel Mure"
24,"FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER COMMA MIXED FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","[[Henri Baud]], [[Jean-Yves Mariotte]], Jean-Bernard Challamel, Alain Guerrier"
4,"FIRSTUPPER FIRSTUPPER AND FIRSTUPPER ALLLOWER FIRSTUPPER","Thomas Coomans et Harry van Royen"
26,"MIXED FIRSTUPPER AND FIRSTUPPER FIRSTUPPER","[[Jean-Louis Morère]] et [[Raymond Pujol]]"
7,"FIRSTUPPER FIRSTUPPER AND ALLLOWER ALLLOWER ALLLOWER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER MIXED COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER FIRSTUPPER","Frédéric Raynaud avec la collaboration de Danielle Foy, Bruna Maccari-Poisson, Claude Olive, Louis de Roguin"
2,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER AND FIRSTUPPER MIXED","[[Serge Velay]], [[Michel Boissard]] et [[Catherine Bernié-Boissard]]"
2,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER INITIAL FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Omaira Hokche, Paul E. Berry, Otto Huber"
6,"FIRSTUPPER FIRSTUPPER PUNCTUATION ALLLOWER ALLLOWER ALLLOWER PUNCTUATION","[[Paul Guichonnet]] (sous la direction)"
1,"FIRSTUPPER ALLLOWER ALLLOWER ALLLOWER MIXED FIRSTUPPER AND MIXED FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Sous la direction de Jean-Luc Aubert et Éric Savaux, Patrick Chauvel"
15,"FIRSTUPPER ALLLOWER FIRSTUPPER","Guy de Chambrier"
136,"INITIAL FIRSTUPPER","A. Rükl"
2,"INITIAL FIRSTUPPER AND FIRSTUPPER FIRSTUPPER","C. Willett et Phillis Cunnington"
22,"FIRSTUPPER INITIAL FIRSTUPPER","[[Christopher Browning|Christopher R. Browning]]"
1,"FIRSTUPPER COMMA FIRSTUPPER INITIAL PUNCTUATION FIRSTUPPER INITIAL FIRSTUPPER","Brooks, George H.; Geo F. Brooks"
1,"INITIAL INITIAL FIRSTUPPER COMMA INITIAL INITIAL FIRSTUPPER COMMA INITIAL INITIAL FIRSTUPPER","S. S. Gropper, J. L. Smith, J. L. Grodd"
1,"ALLUPPER ALLLOWER AND ALLUPPER FIRSTUPPER","AD kinghorn and CM Compadre"
3,"FIRSTUPPER INITIAL MIXED COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER INITIAL FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Maryadele J. O'Neil, Ann Smith, Patricia E. Heckelman, Susan Budavari"
16,"INITIAL INITIAL FIRSTUPPER COMMA INITIAL INITIAL FIRSTUPPER","S. S. Beauchemin, J. L. Barron"
8,"FIRSTUPPER FIRSTUPPER PUNCTUATION ALLLOWER PUNCTUATION","Lucien Bély (s.d.)"
2,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Philippe Dorosz, Denis Vital Durand, Claire Le Jeunne"
2,"MIXED FIRSTUPPER COMMA MIXED FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Karl-Georg Fahlbusch, Franz-Josef Hammerschmidt, Johannes Panten, Wilhelm Pickenhagen, Dietmar Schatkowski, Kurt Bauer, Dorothea Garbe, Horst Surburg"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER MIXED AND FIRSTUPPER FIRSTUPPER","Karen Wilson, Jacob Lauinger, Monica Louise Phillips, Benjamin Studevent-Hickman et Aage Westenholz"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER PUNCTUATION FIRSTUPPER FIRSTUPPER PUNCTUATION FIRSTUPPER PUNCTUATION","The Universal House of Justice; Helen Hornby (Ed.)"
